Event	ID	Name			Wwise Object Path	Notes
	888866	env_modern_elevator_platformChangeDir			\Default Work Unit\environment\modern\elevator\elevator\env_modern_elevator_platformChangeDir	
	4659224	env_old_rotatingDark_sparkEvent1			\Default Work Unit\environment\old\rotatingDark\sparks\env_old_rotatingDark_sparkEvent1	
	4659227	env_old_rotatingDark_sparkEvent2			\Default Work Unit\environment\old\rotatingDark\sparks\env_old_rotatingDark_sparkEvent2	
	7563900	env_fort_jump_trap3Chop1stTree			\Default Work Unit\environment\fort\jump\env_fort_jump_trap3Chop1stTree	
	12622153	sw_modern_jump_gunObstructedOn			\Default Work Unit\ambience\state ambiene\modern\jump\sw_modern_jump_gunObstructedOn	
	17451976	phy_old_swinging_chainJointRotateStop			\Default Work Unit\physics\old\swinging\phy_old_swinging_chainJointRotateStop	
	19957218	phy_old_rotatingIntro_chain2JointRotateStop			\Default Work Unit\physics\old\rotatingIntro\chain2\phy_old_rotatingIntro_chain2JointRotateStop	
	23973645	env_water_heights_waterSproutToTheLeftStart			\Default Work Unit\environment\water\heights\waterSprout\env_water_heights_waterSproutToTheLeftStart	
	25355099	env_underground_sleeping_birdFlyAway			\Default Work Unit\environment\underground\sleeping\env_underground_sleeping_birdFlyAway	
	27166091	env_mechanisms_gatlin_shells			\Default Work Unit\environment\mechanisms\laser\env_mechanisms_gatlin_shells	
	27594994	amb_sws_underground_pursuing_closingIn			\Default Work Unit\ambience\state ambiene\underground\pursuing\amb_sws_underground_pursuing_closingIn	
	31400638	env_fort_crossing_firstTrapRelease			\Default Work Unit\environment\fort\crossing\env_fort_crossing_firstTrapRelease	
	34205639	env_mechanisms_gatlin_leave			\Default Work Unit\environment\mechanisms\laser\env_mechanisms_gatlin_leave	
	34328982	amb_evt_city_start_waterOutOfPipe_stop			\Default Work Unit\ambience\event ambience\city\start\amb_evt_city_start_waterOutOfPipe_stop	
	37162919	phy_old_tire_handleJointRotateStop			\Default Work Unit\physics\old\tire\handle\phy_old_tire_handleJointRotateStop	
	48071529	amb_sws_start_sliding_postStone			\Default Work Unit\ambience\state ambiene\start\sliding\amb_sws_start_sliding_postStone	
	49197289	env_old_rotatingIntro_door1Close			\Default Work Unit\environment\old\rotatingIntro\door1\env_old_rotatingIntro_door1Close	
	49579517	phy_city_crane_crane2RopeJoint2RotateStop			\Default Work Unit\physics\city\crane\chain2\phy_city_crane_crane2RopeJoint2RotateStop	
	50107580	amb_sws_darkness_zombie			\Default Work Unit\ambience\state ambiene\darkness\amb_sws_darkness_zombie	
	50144062	phy_start_treeclimb_logRotateInAirStart			\Default Work Unit\physics\start\treeclimb\log\phy_start_treeclimb_logRotateInAirStart	
	53639949	env_water_sewer_fliesStart			\Default Work Unit\environment\water\sewer\env_water_sewer_fliesStart	
	54318704	phy_old_rotatingIntro_box2SlideStop			\Default Work Unit\physics\old\rotatingIntro\box2\phy_old_rotatingIntro_box2SlideStop	
	61238180	env_darkness_hangToLive_sawTrigger			\Default Work Unit\environment\darkness\hangToLive\env_darkness_hangToLive_sawTrigger	
	66090278	env_old_rotatingIntro_magnet1on			\Default Work Unit\environment\old\rotatingIntro\magnet1\env_old_rotatingIntro_magnet1on	
	68361441	env_fort_hanging_caveentrancecollapses			\Default Work Unit\environment\fort\hanging\env_fort_hanging_caveentrancecollapses	
	71232969	env_underground_pursuing_boy2_jumpLand			\Default Work Unit\boys\underground\pursuing\env_underground_pursuing_boy2_jumpLand	
	74303294	phy_start_falling_platformRotateStop			\Default Work Unit\physics\start\falling\platform\phy_start_falling_platformRotateStop	
	74476016	env_city_crane_craneReachBottom			\Default Work Unit\environment\city\crane\crane1\env_city_crane_craneReachBottom	
	75036308	env_underground_pursuing_trap1_impact			\Default Work Unit\environment\underground\pursuing\env_underground_pursuing_trap1_impact	
	80379793	phy_water_zombie_intro_boxWaterImpact			\Default Work Unit\physics\water\zombieIntro\phy_water_zombie_intro_boxWaterImpact	
	88519999	phy_modern_gravityZone_gravityFieldBox1MoveStart			\Default Work Unit\physics\modern\gravityZone\box1\phy_modern_gravityZone_gravityFieldBox1MoveStart	
	89329260	obj_spider_boyinterest_start			\Default Work Unit\spider\sitting\obj_spider_boyinterest_start	ikke implementeret
